,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT
5,516.06803173598,-0.0002895075294999244,63.909244880894356,-534.8047680486734,919.2814626434773,0.972755211714032,0.12907426935345134,8.747957843320856,8.372803388394933,-9256.300493929328,-22880.710176510907,0.7344685999177942,3.5824566922293686,-1.8743600703033918,268.15687387757913,True,False,True,205.23828094797824,63.47962261330268,-2.7041776343729514e-06,36.04274253749987,110.0058856895465,130.94784421340492,0.011576579764684644,0.4982448807192836,0.6583389833241768,True,1.0,0.011576579764684644,130.94784421340492,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5848068919296338,0.039352622292770964,0.0,188.8814609896371,0.0393525578737195,-0.4159337903387848,36.37105433041953,63.224395264868406,Hybrid,0.00875250023967118,0.5773502691896258,0.4961209983132811,0.6049567896391009,1.0724128623273097,True,122.52551998372722,4.840784807039483
6,496.3347906076541,0.0007308223695868392,90.91050748067585,-655.2179403748994,752.0269704114287,0.9912210533029068,0.12907511244464867,5.824908593438133,7.199752202530076,-21990.410466136134,-20454.212117343937,0.6946585073675521,2.656185848781212,-2.0956993602497125,681.5593123604791,True,False,True,196.18168708649284,90.44970745846923,1.144111791538764e-05,53.48697209761313,115.44229331015798,133.56818699781294,0.009673603400738143,0.467296456664101,0.6519303870367014,True,1.0,0.009673603400738143,133.56818699781294,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.6022209710739951,0.04067849247008032,0.0,171.75431698965997,0.04067838988696587,-0.9999999999999948,54.84888133886243,89.88006310527788,Hybrid,0.007043630480857058,0.5773502691896258,0.5049072691817406,0.6146116861307636,1.082549849528026,True,125.97178575664756,4.864062101759842
9,118.09248411007549,-0.054347382556300936,-178.26917758553475,48.911282433624365,-143.09587942565122,0.9690295367138466,0.12903267702883814,0.4900129091488723,0.27647055703554096,3494.9726488279266,-9873.2881906694,0.3952919877256065,0.16858165345980825,0.09003576109028269,699.5412188179233,True,False,True,157.04658729969663,-164.5512958469401,-5.518149290053527e-06,-16.92087209947951,137.08341120613588,31.07853391615774,0.003716151810281889,0.4445673076391112,0.6249402627491485,True,1.0,0.003716151810281889,31.07853391615774,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5954200233035363,0.06557835036022,0.0,132.68442796034807,0.06557823425056301,0.0830732583108781,-19.61885473546866,-160.68205625431347,Hybrid,0.0029974222565268844,0.5773502691896258,0.5309562463720648,0.6029172670241837,1.0552331427712538,True,146.98223694931102,4.93669303195843
10,377.103627996728,-0.0062514502151348045,-72.03275321275454,324.59391296848185,-161.750592015895,0.9965453233415212,0.12911489461862666,1.6654577312092338,4.461587416359028,-3980.207762741462,-4361.8006557050985,0.5832340502714806,1.1599623355288131,-2.8589168489670107,864.3383452889236,True,False,True,143.71628150479043,-69.28148372557332,1.5499642190143357e-06,-40.834165540957535,133.19131875866458,33.94053368564997,0.003483361798290093,0.2416959353783161,0.6234937850681321,True,1.0,0.003483361798290093,33.94053368564997,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.437565550228132,0.0611781435211271,0.0,138.50889952661274,0.06117795998228288,-0.33373287880631985,-40.88086934390943,-69.06527948434203,Deflagration,0.003412916252531096,0.437565550228132,0.4291943485466223,0.5773497162942107,1.005120760350826,True,135.55894030384692,8.21641765628034
11,110.78818542301512,0.03137251087131426,-171.26977077652487,51.18569966101882,-108.72764368136484,0.965904949506201,0.12904671632705994,0.3722979626653588,0.29635182236883034,3402.0249461316307,-7777.036698516167,0.3946159255444523,0.14246646106114474,0.07007217749761432,638.9813476311298,True,False,True,153.43709443885984,-154.16933949024695,5.750204500028726e-07,-18.707078819959573,138.00459946269672,26.458286117969426,0.0033209567897545308,0.3965463873668935,0.6224530346581509,True,1.0,0.0033209567897545308,26.458286117969426,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.5653699989820592,0.06693678124579089,0.0,140.10590682702932,0.06693667707137876,0.10522219089963428,-20.133298108122688,-151.39228648396644,Deflagration,0.0029635462859327073,0.5653699989820592,0.5297438268003289,0.5844036122748382,1.0288755838594523,True,145.2996303991283,5.853641325828527
14,689.6968360453046,0.0007745111882893897,-106.80665500647964,980.5961223586355,-732.8169020702568,0.9715565714544532,0.12907637239210615,12.083957144940756,9.194589286749249,-44465.918357539216,59990.62656286072,0.7681280979400982,4.55342083402673,-1.6199465498589678,438.19842640845565,True,False,True,133.6982144605422,-105.25128241619804,-8.417259275429794e-06,-97.98468100553332,140.01996206429192,17.028220718182734,0.0024900599575355285,0.17455136911707728,0.6166344201808798,True,1.0,0.0024900599575355285,17.028220718182734,noneSNR,,,,,,,,,,,,,,,,,,,,,0.3255986134127557,0.0923318020020308,0.0,130.90155924364223,0.0923314561000828,0.0548412077017747,-98.0081921337923,-105.20761278754969,Deflagration,0.0024753779097835605,0.3255986134127557,0.3224359669637463,0.5773504428699592,1.0014795207049356,True,141.6353560141104,12.209288697088502
15,404.537702209438,-0.003015587313885473,-70.48294509821642,299.4442482867678,-390.16780865364825,0.997335189995106,0.12908519820456624,6.279427564321143,4.222744057405297,-2792.3153739242302,2915.552913219217,0.5736611203735575,2.2736475673145016,-0.5808349016652175,963.5329782999617,True,False,True,117.93527291738451,-65.13379332040083,5.6332631577524656e-05,-47.358397729070425,142.7400468096311,10.429388374277721,0.002042813524835905,0.1595363241797296,0.613058003010538,True,1.0,0.002042813524835905,10.429388374277721,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.3430471435812945,0.08672902390803157,0.0,115.32069767526752,0.08672868382360438,-0.04527194313295321,-47.354350519101104,-64.99630612711809,Deflagration,0.0020314608242462447,0.3430471435812945,0.34020249199614144,0.5773502757569735,1.001394236404204,True,143.85688107464532,11.464020843707926
17,271.6707675554764,-0.006515906328611361,-71.03101391825089,180.33296367366367,-514.7584023510308,0.9956668342746996,0.1290944637943802,3.3121843943367497,2.5171232457717223,1365.7084045794302,-20509.21679254521,0.501766960268406,1.2475666395461409,-0.349132944471118,760.5283107823343,True,False,True,122.30201756708223,-63.86820710977102,-4.6545800879812315e-06,-28.435467729515572,141.29533423659709,18.311841497583217,0.001978682647828409,0.1996131565192227,0.612511877455584,True,1.0,0.001978682647828409,18.311841497583217,hs-SNR,,,,,,,,,,,,,,,,,,,,,0.4236977321053204,0.0827908939134451,0.0,118.91212063929243,0.08279063255176526,-0.05577671437210923,-28.562322334022326,-63.55203454753274,Deflagration,0.0019580503324679753,0.4236977321053204,0.4193054929236769,0.5773503253780524,1.0026239688435077,True,142.9098773639212,9.980492957812512
24,481.0526473342029,-0.002064736942291548,-66.23227347751731,333.66801640783706,-362.07822927427526,0.9918094423985736,0.1290816835983425,11.706812378198881,5.010526064094209,-3285.504806225639,26545.172481535097,0.6037357355562492,3.7617907718987538,-0.407045714448117,514.3008872565545,True,False,True,85.58057834493238,-60.400490778370454,5.074345711915404e-05,-53.54175769071149,149.98192878508758,3.075142410972348,0.0009626097234606662,0.08419886552373765,0.6021215276685467,True,1.0,0.0009626097234606662,3.075142410972348,noneSNR,,,,,,,,,,,,,,,,,,,,,0.21511851042983832,0.14875313690575487,0.0,84.15092388398294,0.14875170976873772,0.16173200981221852,-53.54277891869479,-60.36174531031183,Deflagration,0.000961729046803281,0.21511851042983832,0.21443129112449788,0.5773502762280215,1.0002288519830664,True,150.32201829251474,21.0581893163608
26,485.13842539113887,0.002677852196577305,-142.1716768677773,745.0482450883464,-945.6472960828166,0.9713394008952062,0.12908709233138976,5.218912233253043,5.257291726551047,-44967.961014203756,-28446.079196865518,0.6039739079502633,2.1809433460717687,-1.1949012726173214,580.9794326101835,True,False,True,73.99854976729857,-136.84780660380295,2.0309848820650884e-05,-133.4988391294496,147.29272759996454,1.0777176902111307,0.0007415465544671982,0.05716244743622144,0.5991526381509037,True,1.0,0.0007415465544671982,1.0777176902111307,noneSNR,,,,,,,,,,,,,,,,,,,,,0.12781852246464934,0.2125912698001385,0.0,72.79929977342387,0.18298762719308967,0.3935970314523145,-133.49835747484627,-136.83166304880262,Deflagration,0.0007413589841402328,0.12781852246464934,0.12752448908302114,0.5773502566480271,1.000063336143995,True,147.43487514746892,32.82734193645858
30,258.19840844788064,-0.010136244100649908,-62.09078321450591,102.16710620918684,-463.5593349675196,0.9971959806880308,0.12911733391440414,5.91074850522463,1.611620227358785,4589.351064386143,-7020.4601130586025,0.4648109476509858,1.7462904975326217,0.019261545136715588,827.3834233712631,True,False,True,65.62738891554655,-42.20579316654351,-4.984520365630281e-05,-34.04938680331532,151.34813278609468,0.9291215863720196,0.0005078795188458578,0.052120570339504416,0.5954555730825325,True,1.0,0.0005078795188458578,0.9291215863720196,noneSNR,,,,,,,,,,,,,,,,,,,,,0.12959882847907114,0.22677991029974245,0.0,64.86512284369063,0.19332312515585104,0.422617831126525,-34.04892010926345,-42.167826844009106,Deflagration,0.0005075875607191243,0.12959882847907114,0.12939450529184948,0.5773502741590579,1.0000444437959644,True,151.45945119009897,35.867919556499245
32,270.99811337048334,0.006637415189951798,71.25224779638155,-111.97910243566092,89.97370817418164,0.9939442003660319,0.12909509785171244,3.172993178271977,1.549720868483055,3780.139931692394,9035.385601941416,0.4606020020517114,1.0515351059818367,-0.060129605392040875,644.493177819749,True,False,True,53.8960322580212,53.500190847659816,-3.1375151772690915e-05,48.4832426199253,152.59145265473566,0.569365870627621,0.0003639856938603233,0.03869332661062965,0.5927162366582354,True,1.0,0.0003639856938603233,0.569365870627621,noneSNR,,,,,,,,,,,,,,,,,,,,,0.11174104330319168,0.2665685239423599,0.0,53.25239714927951,0.22958644569613884,0.4125904039459424,48.48197449900386,53.47895331643821,Deflagration,0.00036390493852434615,0.11174104330319168,0.11161589097920133,0.577350273193065,1.0000239314315746,True,152.6532650115764,43.70315369103057
33,329.21668079207825,0.0005195267240778179,-280.81406782458447,893.7054531723297,-16.597253716459132,0.9361454578958408,0.12907430251123833,0.10519119789699354,3.183249151691264,-117631.28905173152,3655.3917429260327,0.5007660940729187,0.5568393247561257,-23.953442496246424,747.648225422441,True,False,True,43.34659838076148,-276.78470005714195,6.387515139893391e-05,-275.906863638177,146.08746858103763,0.2641578513558045,0.0002551618081453731,0.027344436133451312,0.590244697875682,True,1.0,0.0002551618081453731,0.2641578513558045,h-SNR,,,,,,,,,,,,,,,,,,,,,0.0903849036741522,0.3812080554604413,0.0,41.96127879028129,0.3626205779698482,0.4864270191594366,-275.90678606721826,-276.78081417709143,Deflagration,0.00025522357135060594,0.0903849036741522,0.09031453993393712,0.5773502695124582,1.0000109377136386,True,146.11703789334115,61.3010829264516
39,300.32534533153216,0.0044064539378854545,-410.9114996324749,954.9957309290378,-117.10012861818407,0.7425359058599268,0.12908603604320384,0.20099382912224945,2.327338030046672,-188110.7611324913,-14081.92352586922,0.3838568107250956,0.4381381289550077,-6.6080639672127095,455.52954630899137,True,False,True,28.81978993930377,-407.31095169617873,-5.87111381495293e-05,-407.27911660151113,151.34394530892746,0.12276592831975107,9.858518231878932e-05,0.0193330078785986,0.5854001571714244,True,1.0,9.858518231878932e-05,0.12276592831975107,h-SNR,,,,,,,,,,,,,,,,,,,,,0.0905320218093859,0.4120485411111843,0.0,28.064011458822645,0.28878124034220043,0.5824119068221255,-407.2790982686943,-407.31087652695135,Deflagration,9.858660407232654e-05,0.0905320218093859,0.09050479617233044,0.5773501697124717,1.00000235344303,True,151.35882896723362,96.95288333618777
40,283.6036004777519,-0.003509596727172173,473.6064787831045,-982.5507184505107,68.24271810099572,0.7400568767470831,0.12908067823821828,0.11117681813640884,2.076564083838162,-224628.3556674104,-7323.792780437338,0.3724863697296046,0.3738882185071292,-9.56745153631899,521.1489232816948,True,False,True,28.70836694937553,470.6676514850854,-5.725693612531993e-07,470.6846039310467,151.93505957948113,0.13104709955592853,9.581267178382531e-05,0.019382471301119968,0.5852869564230353,True,1.0,9.581267178382531e-05,0.13104709955592853,h-SNR,,,,,,,,,,,,,,,,,,,,,0.0807624701194179,0.3692591641613561,0.0,27.99297015236844,0.36925916255607577,-2.1465666945101232e-08,470.6845467358052,470.6676639190561,Deflagration,9.562822022541112e-05,0.0807624701194179,0.08073899236995219,0.5773502641056479,1.0000034682830663,True,151.95002959159245,52.54575290904316
42,378.21476182360936,-0.0010826798363075818,-75.48597045989995,195.1219325064596,-820.5826440034875,0.977358679605667,0.12907532789524126,11.113142909594039,2.57745495181652,438.1992148049276,1156.739998249599,0.495240599335519,3.2078615527012637,-0.020371009713454458,348.67966049283723,True,False,True,25.639933019630927,-66.42650903106636,-0.00014358886495360418,-66.13583462022157,157.48076248268063,0.05678539907879099,7.181485979084651e-05,0.015337349461441097,0.5842279755445448,True,1.0,7.181485979084651e-05,0.05678539907879099,h-SNR,,,,,,,,,,,,,,,,,,,,,0.0898438076181846,0.5069355652445824,0.0,25.231090205504284,0.5298042273241448,0.4573322261125322,-66.13574610594566,-66.42567644919153,Deflagration,7.182676259848679e-05,0.0898438076181846,0.08982412779195204,0.5773502844739251,1.0000036828444712,True,157.49053419206888,92.46766468717777
45,241.3934407876297,-0.0015128023039447658,64.62385400037368,-62.00639302963418,772.6233087846344,0.955076932436146,0.12907490068646893,9.472738389645064,0.9635497130284852,5828.7193669592225,-10246.616254407149,0.4172298236827411,2.5287762162493466,0.10457226978693493,208.26418088426757,True,False,True,23.928302887000065,43.327940078340646,0.0010881620408374742,43.01102046124183,159.4988410106759,0.038174390987734334,5.5864941725315126e-05,0.01331618316458618,0.5834206605653224,True,1.0,5.5864941725315126e-05,0.038174390987734334,h-SNR,,,,,,,,,,,,,,,,,,,,,0.0777958103237577,0.5481247984614165,0.0,23.93769606716573,0.4694992194592519,0.4953418944423544,43.01106004992712,43.32821753204685,Deflagration,5.59527223969946e-05,0.0777958103237577,0.07778259068582383,0.5773502313460883,1.0000008905865112,True,159.50604885865184,93.85021801114846
