,ms,theta,u,muhs,mu3,yt,lamh,lams,lammix,muh2,mus2,Pih,Pis,lamh_tilde,Lam_CP,th_bool,isEWSB,edm_Bool,h_low_0,s_low_0,h_high_0,s_high_0,Tnuc_0,dT_0,alpha_0,vwf_0,xi_J_0,v_calculable_0,num_FOPT,alpha_max,dT_max,tran_type,vw,Lh,dh,h0,Ls,ds,shigh,slow,Type,alpha_p,vm,vp,xi_s,Tp/TN,vel_converged,Tc,LT,h_low_1,s_low_1,h_high_1,s_high_1,Tnuc_1,dT_1,alpha_1,vwf_1,xi_J_1,v_calculable_1,h_low_2,s_low_2,h_high_2,s_high_2,Tnuc_2,dT_2,alpha_2,vwf_2,xi_J_2,v_calculable_2,h_low_3,s_low_3,h_high_3,s_high_3,Tnuc_3,dT_3,alpha_3,vwf_3,xi_J_3,v_calculable_3
9,338.81930158166665,2.448329081293079e-09,56.87354297613717,-181.23813204774456,173.92067825133694,0.9914402455155036,0.1290740960404815,4.345267860173835,3.1866861387162646,2669.926675995107,4163.7172510041555,0.5275555591524559,1.6174313214961695,-0.4551803661389871,431.8794444891201,True,False,True,101.1259948238246,48.9189653075354,-6.331201115042091e-06,32.6749916304272,145.23834782765638,5.439306867727538,0.0014188857789277365,0.12200060521753345,0.6072771992080552,True,1.0,0.0014188857789277365,5.439306867727538,hs-SNR,0.2892499800018292,0.11430483486406412,0.0,99.12305222976454,0.1143042183471739,0.049323130874118826,32.667874389437145,48.80333255208919,Deflagration,0.0014152780043854279,0.2892499800018292,0.2877486980889264,0.5773502683095681,1.0006366824836452,True,145.86144770855714,14.786500233120535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,144.88034690816366,3.4482732337651907e-09,150.0743768979604,-75.33272020350739,232.4892448925541,0.9839396997977274,0.12907409604048148,0.9028311462202214,0.5019692347608202,2170.9985220999897,-14556.827859480718,0.41198824792352895,0.3093693256818587,0.05930105107485582,827.2446537972799,True,False,True,170.7126819237601,140.63803232125548,2.0318160685746773e-05,14.023455812523293,130.5667723961496,41.5914489327308,0.004945305334976613,0.4705631537128155,0.6318564947695905,True,1.0,0.004945305334976613,41.5914489327308,hs-SNR,0.5957136561375056,0.05386449799671391,0.0,148.50427332362815,0.0538644292569712,0.06197843232954574,16.61853166968129,136.93203386724917,Hybrid,0.0039025596080591077,0.5773502691896258,0.5241487470612927,0.6049365349990727,1.060989024867819,True,141.03783219082715,4.8343057484324365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,323.4078415251556,9.376077873047285e-07,-110.15439793528607,309.81552295009146,41.37737602326399,0.9934344640339472,0.12907409604112652,0.6096076631991109,2.8125600746634,-9239.99849437744,11954.967273650063,0.512956541626219,0.6211619282436777,-3.1150182321613054,956.5440837455336,True,False,True,51.69527784684738,-101.52372944883714,-2.455244716289965e-05,-98.83766035369587,148.21342166869428,0.4331314212685413,0.0003558717073115973,0.034811435807676344,0.5925463597792575,True,1.0,0.0003558717073115973,0.4331314212685413,noneSNR,0.10417027043719083,0.316514548546856,0.0,50.824876631433604,0.2776386957777611,0.4551742955453789,-98.8372644661555,-101.51047001726305,Deflagration,0.00035584264268050656,0.10417027043719083,0.10405657254336777,0.5773502763302931,1.000020418955892,True,148.26193043402833,50.03109223252098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,322.60538663866305,1.5670016988237326e-10,122.66286890858193,-280.29646133019304,402.51473183421206,0.9724235722484266,0.1290740960404815,2.7978176492735427,2.2850962460596835,-9367.22999929425,-7277.145494347133,0.4806527744842354,1.0803037866616665,-0.33750964067229794,511.4456631848385,True,False,True,33.358752214335084,110.62271816404963,9.659788481290937e-05,109.673535513901,153.09669081619646,0.1541645296076979,0.00013589688425550979,0.02096277436485331,0.5867897904796485,True,1.0,0.00013589688425550979,0.1541645296076979,h-SNR,0.08896728579156073,0.3970283726669514,0.0,32.83092167263672,0.35847712318949965,0.5157875087765983,109.67337862464998,110.6186333208746,Deflagration,0.0001358939136418262,0.08896728579156073,0.08893042744340107,0.5773502661284398,1.0000054649050367,True,153.1149347623367,65.8620231675596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,111.75923857492715,1.254401951650577e-07,149.89567181587194,-70.07265220473153,172.64412253668178,0.9259986858822442,0.12907409604048106,0.5385451338867445,0.4674761650190212,2571.9605314946284,-13778.190664026724,0.3828850950386874,0.21254897764152295,0.027627647493213826,367.6645471051958,True,False,True,179.9572463726379,130.03345822541402,-2.1262400851208323e-06,10.067939223302998,125.58528773194095,22.86359469242119,0.005190242236845317,0.4128316052184251,0.6331159173972932,True,1.0,0.005190242236845317,22.86359469242119,hs-SNR,0.5481746444287301,0.08314975637567426,0.0,171.25562143330697,0.08314970279580698,0.42830698786281707,10.815885122009348,126.82872897647431,Deflagration,0.004650911498250086,0.5481746444287301,0.512345359932003,0.5812358416155516,1.027808933170722,True,132.44683723990428,6.491770305356003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,307.69344483595,3.181217539669716e-08,-111.44234183772042,270.47416129188457,-74.03744465089983,0.9631236159905862,0.12907409604048214,1.182407015925652,2.427032374258017,-7247.382351489731,6433.8769983855445,0.4820666537794309,0.7001071496910826,-1.1163697457074282,398.9185883350541,True,False,True,41.33377416051205,-99.94989614892056,2.1485455298372024e-05,-98.21337048697336,150.54246120307698,0.2486751655084163,0.00021661074894022557,0.02628561426394961,0.5892415385038251,True,1.0,0.00021661074894022557,0.2486751655084163,noneSNR,0.08818501124499653,0.37295957838122396,0.0,40.70961053741629,0.32863962290680543,0.4984036398685217,-98.21315506076478,-99.94311444911074,Deflagration,0.0002166032075969104,0.08818501124499653,0.08812679555062353,0.5773502688139974,1.0000087039856658,True,150.5704898284711,60.41538760546784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23.27587140726843,7.942995711487882e-09,111.7843716328432,98.89687010903653,734.424832893191,0.989109176776261,0.12907409604048145,4.3795752448592165,-0.8847110573427664,13351.316318035671,-27371.159609520986,0.3567598101054555,0.9474419683243428,0.08439432624412323,751.2174302624617,True,False,True,306.0631561948687,-52.82867808476433,4.0650816869694525e-07,47.46485609534728,197.80801395172227,18.908848844794164,0.006282432842697389,0.2699689702323137,0.6383610172343074,True,1.0,0.006282432842697389,18.908848844794164,hs-SNR,0.35327893841669505,0.06463265449639102,0.0,297.6989106349812,0.06219284362566989,-0.041327479422427565,47.59834330789302,-50.82112503236879,Deflagration,0.0061701016914164925,0.35327893841669505,0.34420376902150257,0.577349846961424,1.0045206829513047,True,201.87592629128963,10.049709646573076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,481.06803908197617,5.005424909042894e-10,59.77783875956778,-424.59606864723503,723.6505314758177,0.9975189466899896,0.1290740960404815,8.31360986341667,7.1029009582682825,-4866.9636278824855,-13550.4946051788,0.6937537487782058,3.2622192922322144,-1.3880527252749704,847.0281833620462,True,False,True,176.01308321489932,59.01981235421089,1.4988073888877872e-06,33.758447123197435,125.10714061114255,135.93593659817088,0.00599427498222505,0.3452701763755762,0.6370306664775321,True,1.0,0.00599427498222505,135.93593659817088,hs-SNR,0.5097711708767234,0.048129692081131714,0.0,167.53671771839663,0.04812959438343671,-0.30794698209470395,33.897617784383804,58.824636006409435,Deflagration,0.0055809037384852295,0.5097711708767234,0.4845517768921926,0.5775405462053971,1.0180240372984788,True,130.74602605665808,6.2319699059451725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,277.3797206209616,5.001618251864585e-10,-144.8750745777109,330.5583882724949,-114.57411622421637,0.926979334929578,0.12907409604048148,0.580955464498036,2.2816788143891498,-16121.08151761316,-4405.3829698911295,0.4589311523784863,0.5255186685227007,-2.111225948529406,358.0158914756738,True,False,True,57.38045324601933,-133.34547541412826,-4.36821944635585e-05,-127.98550370315618,148.53194591823268,0.7253930682176133,0.0004233517201626908,0.0446547796303638,0.5939040079558995,True,1.0,0.0004233517201626908,0.7253930682176133,noneSNR,0.1250315779904986,0.2468338075560897,0.0,56.43913343702915,0.21310881346642055,0.3471054348515798,-127.98470575886749,-133.32517730736106,Deflagration,0.0004232971762450077,0.1250315779904986,0.1248675966564734,0.5773501718307619,1.0000322121699292,True,148.61160228756074,39.146452324447544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,97.29095350401285,7.229740077133314e-05,-107.5979020795204,88.75057617902313,-494.08373913066595,0.9814538640291934,0.1290740957739388,1.6251372441848961,0.8248186916888879,3048.9684669180956,-34348.16983313547,0.4242188970905419,0.5437540929943719,0.024417415762184896,550.8774445474933,True,False,True,183.9792611245674,-82.52868495733864,-4.7067839155509856e-07,-6.461415536322557,119.12194506271014,2.9636649803878896,0.004849982146874306,0.19031145513363648,0.6313569626107891,True,1.0,0.004849982146874306,2.9636649803878896,hs-SNR,0.16557096596626375,0.5009090213446615,0.0,182.9643821809996,0.4291128977513281,0.8221038961365406,-6.472911524047397,-82.19091434238959,Deflagration,0.004836924788086089,0.16557096596626375,0.16302618824452586,0.5773502708232503,1.0006741970325812,True,120.26799363066523,20.181862744234206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,292.3137444858108,9.902886891533816e-05,-134.79888527033376,283.1155572712829,-296.16117971226225,0.9451824298686372,0.1290741016868839,1.6982203381438985,2.1004894234783142,-11256.184093716416,-9057.965255059251,0.459901381833544,0.7746366551156937,-0.5204375840238319,390.17719403206274,True,False,True,39.535093851382705,-120.87403989681492,-2.311362586733074e-05,-119.07023226480094,151.90140007165368,0.2372859336621218,0.0001932001616852936,0.02500701682122971,0.588587211915597,True,1.0,0.0001932001616852936,0.2372859336621218,noneSNR,0.09607585651554253,0.3760871222525704,0.0,38.883414432516496,0.3328751466739604,0.4952773105341878,-119.0697837256226,-120.86189577395163,Deflagration,0.0001931897480682155,0.09607585651554253,0.09601911699281328,0.5773504720629256,1.00001347562007,True,151.9270003506089,60.810455426046296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,246.16315861227855,1.647761981402421e-09,-39.07716544737463,60.29925100224585,-200.29201389914473,0.9928436017497558,0.12907409604048145,7.09112043821831,1.5430815058549574,6645.59215199407,3001.473258562204,0.4597681970601311,2.029960360530404,0.0451275408219852,324.87780055603105,True,False,True,35.40327032497979,-18.645984371113684,-6.841114630156298e-05,-16.823294482653218,154.66147434955673,0.1996774578983036,0.00013717492477234998,0.02289351360842229,0.5868337008312844,True,1.0,0.00013717492477234998,0.1996774578983036,noneSNR,0.19305664920033144,0.4025199351331089,0.0,34.48565200670747,0.3645277781499707,0.52818787606628,-16.82297360377591,-18.61379021904661,Deflagration,0.0001371605374198229,0.19305664920033144,0.19297054480589604,0.5773502816271913,1.0000262225325536,True,154.68313887599862,64.08397458070682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,237.49163963890516,7.83650942156793e-05,74.68403108623852,-121.76057901932256,77.53510525999775,0.9965471931953124,0.12907409810499476,1.1457896561548595,1.6301691950156971,3276.4843334035327,594.9777205673308,0.4652388244899254,0.5581422798746645,-0.4507556267714351,896.3955497216605,True,False,True,67.22967189411105,60.84879342949888,1.6432996793157348e-05,50.44933873626174,150.2067937860774,1.3309569409757105,0.0005632192287180394,0.06063767068657148,0.5963998418971985,True,1.0,0.0005632192287180394,1.3309569409757105,hs-SNR,0.15617767101716418,0.1821155940920392,0.0,66.28380005493982,0.15556459904373532,0.2862054723358514,50.447207364090325,60.80484153931289,Deflagration,0.0005630566127059961,0.15617767101716418,0.15589998920015458,0.5773503204839329,1.0000721945180364,True,150.3549359052492,28.869984184325666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,269.5684323463368,4.118804784595693e-09,96.48062276871076,-171.90330977964683,-6.581119680331027,0.963216800365622,0.12907409604048148,0.9686096644570288,1.7817392124202345,-468.9151877884015,9651.263525269984,0.4552243149098074,0.5391089515176296,-0.6902948245802546,345.82410684876885,True,False,True,31.012282769378462,82.74314585498723,0.0004175227705648437,81.78389263059628,153.04497983587976,0.1644250931269653,0.000114880521127046,0.020186929285781027,0.5860350998563079,True,1.0,0.000114880521127046,0.1644250931269653,h-SNR,0.09516733767373108,0.40427837585890003,0.0,30.478785589452983,0.3659377083768464,0.5194501763143552,81.78370934188122,82.73899295390288,Deflagration,0.00011487796835588665,0.09516733767373108,0.09513392921388086,0.5773502746358984,1.000005555351308,True,153.06152609374217,67.98216771118678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,209.61672239883598,6.717323395344297e-05,33.29064667330391,-25.99240614262328,-257.25960308086394,0.9973867454546392,0.1290740970935215,5.283835020791563,0.7805401708637973,7390.9736223712525,14413.212027230458,0.4302561175803118,1.4510487836751906,0.10024830314202827,459.58292501362524,True,False,True,198.101683423991,28.022665753773587,4.271527261721642e-06,-76.92449622734952,116.0113864378518,33.37297356774621,0.008644655444807772,0.5308348223503231,0.6481529281526841,True,1.0,0.008644655444807772,33.37297356774621,hs-SNR,0.5981701754147896,0.06900706875240037,0.0,181.85925026755243,0.06900702735147382,0.4339763488697017,-75.548766299045,25.75658475841961,Hybrid,0.006449168287560531,0.5773502691896258,0.5081863412757303,0.6108785495917649,1.0759968367115438,True,127.97131708125627,4.058593679368217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,496.974664934452,1.9007760584601483e-07,-104.76076420441387,514.3870758479943,69.63587340069546,0.9831031312903123,0.1290740960405504,4.140245003977599,4.9101136132078915,-19120.02817610126,52733.593204088094,0.5952495388375519,1.8534135198623816,-1.3267102640303732,562.6288169750188,True,False,True,47.41225392918576,-98.76739834743393,-0.00031531688948301985,-97.71503491357448,150.05423606715883,0.3058391571809409,0.00028908724926724334,0.029615684625463563,0.5910649464465813,True,1.0,0.00028908724926724334,0.3058391571809409,noneSNR,0.09583466068501012,0.3598385275031514,0.0,46.59482115822026,0.32036407182859883,0.5076846417595724,-97.71491376875963,-98.76189322272886,Deflagration,0.0002890709447401088,0.09583466068501012,0.09574998252307942,0.5773502735350853,1.000014100502474,True,150.09180717073426,57.60350983594726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,417.48201489797935,6.31766457890056e-09,-70.60811973166659,381.5024111218203,-453.1803094154674,0.9889116109252948,0.12907409604048162,4.2660298332359,5.4030955170957755,-5644.82976748486,-10729.888029757014,0.6186540533670237,1.9670233778249373,-1.5817344489103418,470.18649716677635,True,False,True,150.7713617676581,-68.61989649223385,4.4250505091823934e-05,-43.47309394523711,132.15231256735552,39.13414094921743,0.0038977099655931476,0.25579338317957545,0.6260341898061993,True,1.0,0.0038977099655931476,39.13414094921743,hs-SNR,0.44798899176399104,0.05907135079185383,0.0,145.24610014390586,0.05907118340268608,-0.2996651878561725,-43.51857569466231,-68.42938382913654,Deflagration,0.0038010952231958563,0.44798899176399104,0.4379533585581693,0.5773503556861427,1.0062947166114662,True,134.94802412938807,7.862389093062523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,192.68698164677863,1.8248908683376635e-07,-112.01056082263297,156.1898072895734,-147.25461475590518,0.9703119846591852,0.12907409604048733,0.4527741456671717,1.394420508785178,-923.69901292362,-10813.397647175196,0.442515721358348,0.34559695454765593,-0.9445343320951286,449.37849440786414,True,False,True,156.17124531894518,-108.81210271727056,-2.822448480110425e-05,-19.13744554241747,133.3873541446342,111.1530303842161,0.0037872172051078056,0.4032063551781229,0.6253718737276232,True,1.0,0.0037872172051078056,111.1530303842161,hs-SNR,0.5706207606762533,0.049376307400555264,0.0,139.3588563064721,0.04937621634366142,-0.1744292958314934,-20.84434180640696,-108.17205460151811,Deflagration,0.0033037803800973946,0.5706207606762533,0.5281135359458151,0.5876248887048056,1.0347305245348517,True,140.83515809322554,5.326600975451272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,175.27414959282683,2.66520103829949e-06,80.00810451650976,-75.43921377131691,165.53136633130606,0.9594358722576444,0.1290740960413647,1.2019722927272916,0.942892611330826,4805.8732723182675,-5549.7312925236865,0.4184550203152403,0.4576418417369605,-0.05583999929210706,272.27849140476053,True,False,True,44.29070425023592,52.28846545475893,-3.3940021453348386e-05,46.63746603901858,154.33394309184308,0.4199755215365428,0.00020583296315840538,0.031972186257257174,0.5889450315158059,True,1.0,0.00020583296315840538,0.4199755215365428,noneSNR,0.10947079374990856,0.32441611098179635,0.0,43.742069677923936,0.2814781549614528,0.4520954305512728,46.63753720214426,52.269303828763434,Deflagration,0.000205822134131471,0.10947079374990856,0.10940151928149656,0.5773502910710727,1.0000131531204468,True,154.37552659782042,53.07959725595442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,357.4014038977401,4.932310549571874e-05,65.91483898486878,-169.92527632918342,-59.24257426003663,0.9876589124202808,0.12907409828982008,5.25922993742921,2.5776111033425697,2222.7154970970114,26744.76326460204,0.5003065255170636,1.7444093349143974,-0.18675536149429728,415.66411740923417,True,False,True,50.48275134619688,54.20223057793619,-2.4162123670406025e-05,51.21275868325945,152.9471555193439,0.4727418508772416,0.0003275869490839642,0.03440388621215002,0.5919380565770899,True,1.0,0.0003275869490839642,0.4727418508772416,nonesym,0.10571613758719517,0.2889491399869818,0.0,49.84543375476815,0.24960960414173775,0.4280369671114516,51.21199982721274,54.189725760031955,Deflagration,0.0003275618416690762,0.10571613758719517,0.1056098505754104,0.5773502697210166,1.0000191617963778,True,152.99772488659906,47.61158564307581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,256.8726607116238,2.5607503868891096e-08,44.22977983906981,-41.502131001242326,-123.68867557277224,0.997821558219372,0.12907409604048176,8.197899544936089,0.9383299197225341,6905.938875698864,21508.052319090148,0.4370475754325905,2.2058632061877783,0.10222383295112837,668.9849287299719,True,False,True,156.08447859236514,36.8245958900996,-2.4252232078442654e-06,-49.30236955673147,137.06615608175758,40.01122347949607,0.0036352715622021132,0.4208078454764073,0.6244434886557579,True,1.0,0.0036352715622021132,40.01122347949607,hs-sym,0.5826851610534716,0.0543352391116699,0.0,136.12548185336095,0.05433513242797036,-0.11825538724347535,-47.541200038217106,34.70366799544301,Hybrid,0.0030633350985395397,0.5773502691896258,0.5304307089742237,0.594322089830828,1.043723803025155,True,145.53861988362902,4.591127923386737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,448.50265271120173,7.337311823365928e-08,101.6558049757075,-577.9406676708119,192.46078965573338,0.993094561304538,0.12907409604048978,2.34251608325979,5.685269154315795,-21551.760660171432,4642.560261833889,0.6324839466186429,1.5331738798675798,-3.3204524182060737,860.5244177712303,True,False,True,138.93757995042773,99.46691289173759,1.2869140267678035e-05,84.19834936030458,134.01511635471041,12.517244756928234,0.0032367863923216376,0.19823488764813416,0.6219026805485024,True,1.0,0.0032367863923216376,12.517244756928234,hs-SNR,0.3556308206084579,0.07594734360226102,0.0,135.2504120334242,0.07594702494523857,-0.14600413811414542,84.18200072755906,99.36306212768223,Deflagration,0.003205617396525353,0.3556308206084579,0.3508376064182244,0.5773503757720087,1.002421997340146,True,135.62428622302272,10.021639392522514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,409.42456677457415,6.938145280067798e-07,-115.82483660664735,513.1900836496156,44.927699164029725,0.9804884692935464,0.12907409604108505,1.0488410652035305,4.430746694588332,-21896.299939710352,19274.470332887082,0.5739923851448671,1.0006680487322712,-4.550261249156302,577.7132880357854,True,False,True,83.2775736854794,-110.51402577643377,0.00012928688510215582,-105.6185236463542,142.90024423176388,1.4109270062961627,0.0010101777633207368,0.07050626620424949,0.6027120274640183,True,1.0,0.0010101777633207368,1.4109270062961627,noneSNR,0.14582146713008518,0.18114451664599776,0.0,81.66012589514929,0.15500926356883554,0.3269697341666417,-105.61717392233145,-110.48798026270144,Deflagration,0.001009729854237103,0.14582146713008518,0.1453597170305756,0.577350250228739,1.000110879804269,True,143.0988797792945,27.064395270862388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,226.4558810156609,1.5121293457451246e-05,-84.18239588313236,-53.64085562208186,24.724250655482198,0.9727205641300648,0.1290740961076933,4.8339039339335805,-0.6371720169934524,10081.654048376837,36338.44452330152,0.3590360198949075,1.1022806473178195,0.10807718632275204,352.9871540669896,True,False,True,139.44871744239663,81.99100449919376,4.228132459994744e-05,64.08909979881328,222.58447007072655,1.7381252414662924,0.0010719252712453773,0.06842624341708611,0.6034572092193031,True,1.0,0.0010719252712453773,1.7381252414662924,hs-sym,0.12265399196906167,0.14531964014633006,0.0,137.80856111610913,0.12726417188690695,0.3892784448907593,64.07986149139961,81.87078546352825,Deflagration,0.0010715738261811037,0.12265399196906167,0.12224729176726212,0.5773500776590328,1.000081982650202,True,222.8584961137642,31.721374220178596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,245.72385421515477,6.932427147702759e-10,-80.00491928844066,117.10189695707413,-203.1280660464176,0.9934183840118628,0.12907409604048145,2.520883161814738,1.4636837100084468,3139.3901477515856,-115.60803270413452,0.4567453726058547,0.8741680754550923,-0.08338815086129855,693.8784263799544,True,False,True,52.35152409134861,-61.79519026212996,-1.1536721158727605e-05,-56.602059044081,152.53677113846675,0.5351923409813253,0.0003340917567886105,0.037390290911926735,0.5920802681691059,True,1.0,0.0003340917567886105,0.5351923409813253,noneSNR,0.10930864929460007,0.27920084738434603,0.0,51.72393984823935,0.2406261285411248,0.4273020833071547,-56.60119536520154,-61.7745534405793,Deflagration,0.00033406377399288053,0.10930864929460007,0.10919638744168836,0.5773502727106695,1.0000209405500993,True,152.59405813204305,45.75758541367983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,422.17395129491814,4.901032119284052e-07,32.355758396303266,-168.97287244260897,194.0906788089378,0.9984795964549504,0.1290740960408037,12.530431270871002,5.222333122995896,5090.126095908659,6837.792846676662,0.6158761195248511,4.0029966715504,-0.4150564821089681,586.0861821659287,True,False,True,114.20702032314163,27.99923363105905,7.736547530445304e-05,12.194696681492694,144.56004157698632,9.356929311221137,0.0017589341162104956,0.15046424014168722,0.610565049491246,True,1.0,0.0017589341162104956,9.356929311221137,hs-sym,0.3325779374711574,0.09823031472655347,0.0,111.84095387017179,0.09822992193270016,0.029004328575287456,12.204521510362058,27.89622572519071,Deflagration,0.0017511459705474865,0.3325779374711574,0.33025633780138186,0.5773502405314839,1.001110014577501,True,145.6089661690262,12.502280362391883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
